"gene_id","gene_name","1373-liver","1373-lung","1394-liver","1394-lung","1398-liver","1398-lung","1399-liver","1399-lung","1548-lung","6843-liver","6843-lung","6844-liver","6844-lung","997-lung"
"ENSMUSG00000031343","Gabra3",1.310473,0.235403,0.569917,0.22278,0.239068,0.018719,1.247582,0.217664,1.306313,1.92865,0.424756,0.488055,13.447737,0
"ENSMUSG00000031344","Gabrq",11.315087,45.500056,13.320217,50.242628,43.656434,41.275017,41.266697,128.773211,56.55612,106.782998,12.86601,16.081297,27.157311,50.362864
"ENSMUSG00000031347","Cetn2",38.679801,94.56843,43.382916,87.086063,88.846221,76.445537,78.768126,143.740634,81.361607,96.229232,79.508409,81.98172,74.011908,84.366511
"ENSMUSG00000031349","Nsdhl",13.184228,13.042517,14.668675,16.003724,16.990908,9.4326,15.082036,43.724351,16.379673,20.739898,28.141595,23.183615,11.417203,17.020495
"ENSMUSG00000031351","Zfp185",0.248927,4.666937,3.719306,8.055222,0.171218,5.506382,9.818073,33.255406,5.300877,8.145871,2.83607,4.428379,5.7951,3.161838
"ENSMUSG00000031352","Hccs",26.426464,34.701876,38.686044,33.707653,35.379932,10.903502,32.010189,56.523601,34.6267,44.710017,40.613718,39.643996,31.354482,37.181887
"ENSMUSG00000031353","Rbbp7",227.916548,298.954817,294.699645,245.744463,271.037485,85.501282,233.636676,533.621446,270.758256,206.78954,326.713653,319.85433,301.605289,297.088858
"ENSMUSG00000031354","Amelx",0,0,0.10894,0,0,0.11047,0,0,0.849605,0,0,0,0,0
"ENSMUSG00000031355","Arhgap6",1.560675,1.25137,2.054726,4.930742,0.579014,1.758842,1.665055,0.985062,2.049324,3.2198,0.632491,1.501037,2.412998,1.861095
"ENSMUSG00000031357","Syap1",36.005529,52.331076,52.552806,50.898338,40.357497,22.433738,39.165593,96.603479,50.819752,56.92487,52.556829,47.040357,57.744616,39.771015
"ENSMUSG00000031358","Msl3",43.241395,51.389316,51.754469,43.578219,37.623209,16.262801,38.990418,87.52612,46.458937,55.532131,44.971671,38.196169,51.168869,62.34461
"ENSMUSG00000031360","Ctps2",62.925708,85.356348,65.809704,72.296766,49.719253,79.281298,93.325909,169.750693,88.425722,136.32039,80.172338,87.296301,94.450144,84.516654
"ENSMUSG00000031362","Xlr4c",2.183404,0.255674,0.097518,1.836195,0.072448,1.354925,8.806806,4.227804,1.683609,3.839644,0.735128,2.016487,0,0.267752
"ENSMUSG00000031364","Grpr",0,0.031414,0.024485,0,0,0,0,0,0,0.061171,0.103284,0.061683,3.649126,0.050037
"ENSMUSG00000031365","Zfp275",10.486538,15.48971,24.457131,12.325721,10.20587,7.030835,18.018095,41.663529,16.400943,24.018524,22.743147,18.381157,41.108764,14.6977
"ENSMUSG00000031367","Ap1s2",49.044961,15.404721,42.066444,16.964709,19.500068,18.449722,11.748391,69.531468,24.532461,8.868373,32.816099,22.581006,53.18335,16.958393
"ENSMUSG00000031370","Zrsr2",36.363731,41.562764,37.236607,30.175264,33.582267,31.057135,37.210747,66.891153,40.041669,38.480487,72.659567,56.922049,41.376438,42.493079
"ENSMUSG00000031371","Haus7",29.804989,31.985853,41.390854,32.959223,26.597971,81.515154,39.65454,67.842022,40.506513,38.726902,60.023904,49.810929,49.746322,31.482024
"ENSMUSG00000031372","Trex2",0,0.323314,0.064098,0.517659,0,0.877937,0.202592,3.654409,0.082672,2.252693,0.176694,0.403298,0.091715,2.010925
"ENSMUSG00000031373","Car5b",0.192976,0.45054,0.388663,4.436954,0.146942,1.52291,0.182016,0.253621,0.734599,0.70491,0.049255,0.177514,0.204971,0.474339
"ENSMUSG00000031374","Zfp92",0.088719,0.344366,1.151101,0.931236,0.050537,0.519723,1.529437,8.681531,0.443573,0.610719,0.906881,0.767526,4.018908,0.549705
"ENSMUSG00000031375","Bgn",45.594958,89.116986,56.108492,91.369626,26.214984,79.885133,50.896964,132.330524,83.96439,125.612291,26.777991,155.176399,57.152548,51.975612
"ENSMUSG00000031376","Atp2b3",0,0.072543,0.418977,0.038919,0,0.030341,0.200055,11.789532,0,0,0.078156,0.044623,2.161332,0
"ENSMUSG00000031377","Bmx",0.171497,0.196561,0.096723,4.123411,0,0.266014,0.178205,1.165185,0.857568,1.541726,0.707707,0.294462,0.139367,0.356207
"ENSMUSG00000031378","Abcd1",9.952917,21.883668,11.953262,23.080981,11.968781,13.822857,17.840494,27.576319,19.894467,18.759683,24.24542,21.591566,16.010311,37.706637
"ENSMUSG00000031379","Pir",12.865438,13.405938,10.891557,36.602829,2.88022,13.180685,17.518376,18.439947,19.518431,22.59566,17.188562,20.240967,9.721339,18.568269
"ENSMUSG00000031380","Vegfd",2.318565,1.404492,1.490224,2.742864,0.206374,5.041024,3.214772,6.281856,1.682507,6.755032,1.771833,1.71752,1.133077,0.764189
"ENSMUSG00000031381","Piga",13.185622,14.009222,11.851689,10.58878,13.346723,6.028282,13.715395,22.07056,15.164643,15.619589,14.185971,16.123671,18.043419,12.862916
